site_id,slot,energy_wh_mean,energy_wh_median,cfp_g_mean,cfp_g_median,n_days
site_ad3433ffac,85,171.51832267187038,122.01237955869637,86.99619284840017,14.174466658333332,97
site_ad3433ffac,86,160.44099799758965,103.14051350626349,85.97704509178794,10.226318754166666,96
site_ad3433ffac,87,182.0646322141142,104.84001302083334,101.1917906194616,15.710448964583332,96
site_ad3433ffac,88,190.53237227399117,113.97275260416669,105.53694281252447,15.457025196180554,97
site_ad3433ffac,89,166.59029328873376,90.07331797882551,103.05267732351439,16.35950780612689,96
site_ad3433ffac,90,169.211811319935,88.69903124999999,123.27738822918919,14.920032156250002,93
site_ad3433ffac,91,144.570273330717,68.56952083333331,91.1885242692713,12.957678105555557,97
site_ad3433ffac,92,161.24390736458625,96.67940735508816,101.28489920339125,15.08633568636356,86
site_ad3433ffac,93,179.51070010458847,100.7864487847222,87.57587189497951,27.920976008333334,83
site_ad3433ffac,94,192.6123353015574,90.02599869791666,124.38198335734533,16.952168465672635,86
site_ad3433ffac,95,147.09455275524368,70.4120056423611,65.35801067643636,11.540514002256941,86
site_e726c7cce5,0,210.7718069540027,67.59566449652779,68.67928830340118,8.981469140972221,79
site_e726c7cce5,1,275.94688814028126,76.06283658854167,107.37307249881691,11.794887358593751,88
site_e726c7cce5,2,198.8193004723924,102.68971961805556,68.50057666743129,10.27897552317708,89
site_e726c7cce5,3,191.96578739074312,78.45506194865703,48.32139175348148,12.667789614047273,88
site_e726c7cce5,4,164.63765015275345,93.0324939236111,57.21466534316514,11.752654366493056,89
site_e726c7cce5,5,232.87681755897492,118.22717838541668,69.87059278037418,19.94748680980902,93
site_e726c7cce5,6,191.6355648823544,125.3734661458333,50.38041825855008,19.984515571440973,93
site_e726c7cce5,7,194.43235410333213,113.22825156190065,43.68830990418538,14.774797953218227,94
site_e726c7cce5,8,183.25264775042638,97.98124739583336,48.33102044394805,12.069308694704862,93
site_e726c7cce5,9,186.0093525557891,93.25888585069444,52.24366211544879,12.84803611634068,94
site_e726c7cce5,10,172.00447826698323,118.35728434097891,43.461276008892185,11.683526007769096,96
site_e726c7cce5,11,160.41267458988565,93.92819354868413,47.50027508808471,10.924299749274542,96
site_e726c7cce5,12,188.46293430027615,91.39785720486111,44.30067759469506,11.67585410243407,94
site_e726c7cce5,13,182.22301082128078,102.34962065972222,46.50314134778214,14.727140331978102,96
site_e726c7cce5,14,200.47666326810312,102.92766319444445,67.1537399643998,16.768172046961805,98
site_e726c7cce5,15,180.36545154152304,107.33425520833332,82.42956044474434,12.004860561412643,93
site_e726c7cce5,16,198.18918338476985,109.91203342013888,96.71685178010134,14.717772047829865,97
site_e726c7cce5,17,203.1269409692042,102.52327100153997,67.8679992810962,13.587963276559295,98
site_e726c7cce5,18,189.91430179375686,128.80132774399792,77.15725348257423,16.706101136182863,98
site_e726c7cce5,19,190.40248696872789,109.67234977679725,76.1663607102775,13.445673712673614,100
site_e726c7cce5,20,203.29547154535868,123.04845225694447,75.1274269856999,14.298603127387153,100
site_e726c7cce5,21,203.35035160346627,125.92683072916664,93.74154872008896,14.817339512499998,99
site_e726c7cce5,22,208.8880853367608,120.25757725694443,80.54353849460857,19.93741763930652,98
site_e726c7cce5,23,207.61889289971413,135.12641124131943,71.2669770313508,20.65776788042899,98
site_e726c7cce5,24,222.5888327411837,133.7454589468109,150.68937140078225,16.92224919369766,100
site_e726c7cce5,25,229.68537288274683,174.42474479166665,67.91633007624664,27.81455359128658,102
site_e726c7cce5,26,285.8404777486505,179.79294921874992,127.10929992285719,30.93805449809027,99
site_e726c7cce5,27,268.36597486462796,167.07373437500007,150.41168356550935,26.51367129809028,103
site_e726c7cce5,28,300.72063260738076,179.8052842881944,161.36650061174922,28.321724884201384,101
site_e726c7cce5,29,257.92423629864527,189.93640733506945,147.93242057195906,22.35370191360679,104
site_e726c7cce5,30,241.26522883454416,188.9374500868055,125.61682519645399,23.657724468689267,103
site_e726c7cce5,31,222.72686477719986,188.7324580128847,83.55017145658363,30.267594201160712,103
site_e726c7cce5,32,263.58190476362313,173.65658919270834,81.24335147930783,28.015878005772574,102
site_e726c7cce5,33,225.3608856684782,159.06976432291668,84.630764274895,24.872080209083077,104
site_e726c7cce5,34,281.48827468933007,204.38820203993058,113.29997585370529,26.213992122395837,104
site_e726c7cce5,35,270.7371940981891,179.00451388888888,109.25742129293933,22.111253341400882,104
site_e726c7cce5,36,349.4846732286077,165.87813975694442,132.1234135165144,22.61752299259745,103
site_e726c7cce5,37,407.44572692110467,190.62788809125624,126.22557152144807,23.054065422439237,102
site_e726c7cce5,38,278.7565837468323,151.36833485243056,87.95394313160402,20.031082921857298,106
site_e726c7cce5,39,390.3071844916057,168.8847380642361,115.54474356092825,28.132742401519096,102
site_e726c7cce5,40,400.0992720433873,165.4062174479167,116.80912817343516,24.913002842272427,104
site_e726c7cce5,41,465.12800437253486,191.63134244791664,113.74643477759031,29.282765127839024,101
site_e726c7cce5,42,339.78909924539954,162.2239735243056,91.02885987328727,30.51211637274305,101
site_e726c7cce5,43,509.62331925689864,174.74684461805552,127.5479433145811,24.386902457909095,100
site_e726c7cce5,44,416.47034389807783,189.48515820312502,123.71476110051037,29.080619942363448,100
site_e726c7cce5,45,412.127804499749,201.4022356770833,131.61246464084238,33.14395834682588,99
site_e726c7cce5,46,293.62179490219336,170.96198992737226,94.2211852984219,29.744991243630366,102
site_e726c7cce5,47,245.0741463087852,184.3735130208333,85.7068801133977,27.798955049714692,102
site_e726c7cce5,48,274.0812537648424,188.75762051757735,99.39804559548652,31.87752059895833,103
site_e726c7cce5,49,326.8937749155353,199.28658637152776,146.41613776455392,30.4391915875,99
site_e726c7cce5,50,240.10226639655264,180.3724782986111,76.1567061414698,37.867087862673614,99
site_e726c7cce5,51,312.078853289019,201.28846462673613,87.86146004141926,37.06829987504091,98
site_e726c7cce5,52,298.04276979603975,221.1240737847222,99.66814958941659,46.25413712163339,99
site_e726c7cce5,53,317.070241364197,192.38483044027925,120.32669859110594,35.70577427358296,102
site_e726c7cce5,54,277.7941454535273,202.10327951388888,138.24118770075785,37.285466218315975,99
site_e726c7cce5,55,297.9066037765499,141.59087131076387,118.35373338485446,30.305458025028702,102
site_e726c7cce5,56,260.5748963869079,141.4949357638889,114.21280303345958,35.49592024160613,103
site_e726c7cce5,57,311.32195855292014,187.3328786892361,91.89932742706655,43.6538299679562,102
site_e726c7cce5,58,412.2449455057017,157.91343923611112,134.12336192296874,34.10893185079892,103
site_e726c7cce5,59,323.9275727884661,160.61110677083332,124.323166594328,35.125132171875,103
site_e726c7cce5,60,343.90237869325915,202.12543970379556,105.20862752999113,33.49226352615017,102
